Unique Ref ID,Type,Category,Sector,Risk Title,Activity Name,ISIC Code,Hazard/Driver,TCFD Theme,Time Horizon,Impact Type,Impact on Business Model,Geography,Activity Linkage,Likelihood,Severity,Financial Impact,Source,Last Updated,Has Mitigation Measures
5996adcf-8283-41f9-8fd6-000f22038754,Risk,Physical,Power and Utilities,"Extreme weather events can disrupt public consultation platforms, affecting stakeholder engagement.",Stakeholder engagement,8299,Extreme Weather,Acute,Short term (0-3 yrs),Operations,Disruption in stakeholder engagement processes can lead to delays in project approvals and loss of trust.,,Stakeholder engagement,High,High,Potential increase in costs due to delays and additional resources needed for recovery.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
6f579522-29c1-4cd4-bc25-8eb84477939e,Risk,Transition,Power and Utilities,Policy uncertainty can affect the trust-building process with stakeholders.,Stakeholder engagement,8299,Policy uncertainty,Policy & Legal,Medium term (3-10 yrs),Strategic,Uncertainty in policy can lead to strategic misalignment and loss of stakeholder confidence.,,Stakeholder engagement,Medium,Medium,Potential revenue loss due to decreased stakeholder support.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
6992d2eb-84dc-4281-ba10-e9acb558185e,Risk,Physical,Power and Utilities,"Extreme Rain & Flood can hinder ecological assessments, impacting project timelines.",Environmental impact assessments,7490,Extreme Rain & Flood,Acute,Short term (0-3 yrs),Operations,Delays in assessments can lead to project postponements and increased costs.,,Environmental impact assessments,High,High,Increased operational costs due to extended timelines.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
904ed204-41da-4892-bb3d-d6353ac1e1f2,Opportunity,Transition,Power and Utilities,Market pressure to adopt sustainable practices can drive demand for comprehensive impact assessments.,Environmental impact assessments,7490,Market pressure to adopt sustainable business practices,Market,Medium term (3-10 yrs),Market,Increased demand for assessments can enhance business opportunities and revenue streams.,,Environmental impact assessments,High,Medium,Potential increase in revenue from new contracts.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
ef59d171-ea69-400c-ac2b-f7e84f296da7,Risk,Transition,Power and Utilities,Increased monitoring and reporting requirements can strain resources and increase operational costs.,Environmental impact assessments,7490,Increased monitoring and reporting requirements,Market,Medium term (3-10 yrs),Financial,Additional compliance requirements can lead to increased operational complexity and costs.,,Environmental impact assessments,Medium,Medium,Increased operational costs due to compliance.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
a2f8fd60-28fb-4a0d-afd1-1378a588b83a,Risk,Transition,Power and Utilities,"Reputation may be damaged if business not aligned to stakeholder expectation, affecting transparency reports.",Stakeholder engagement,8299,Reputation may be damaged if business not aligned to stakeholder expectation,Reputation,Long term (10+ yrs),Strategic,Misalignment with stakeholder expectations can lead to reputational damage and loss of business opportunities.,,Stakeholder engagement,Medium,Low,Potential loss of revenue due to decreased stakeholder trust.,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
9a437010-9777-4cf2-8788-dcf9a9da3e8c,Risk,Physical,Power and Utilities,Extreme Rain & Flood impacting hydrological studies and protected species habitats,Environmental impact assessments,7490,Extreme Rain & Flood,Acute,Short term (0-3 yrs),Operations,Disruption in environmental assessments due to extreme weather events,,Environmental impact assessments,High,High,Increased costs for additional assessments and mitigation measures,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
fc9235a8-0b9c-4f92-ab50-78f01a103d10,Risk,Transition,Power and Utilities,Policy uncertainty impacting carbon footprint tools and climate resilience standards,Environmental impact assessments,7490,Policy uncertainty,Policy & Legal,Medium term (3-10 yrs),Financial,Uncertainty in regulatory requirements affecting assessment processes,,Environmental impact assessments,Medium,Medium,Potential increase in compliance costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
129961af-854b-46e8-9605-e3912ca3aa53,Risk,Transition,Power and Utilities,Community resistance impacting legal teams and eminent domain laws,Land acquisition & permitting,6820,Community resistance,Reputation,Short term (0-3 yrs),Strategic,Delays in land acquisition due to community opposition,,Land acquisition & permitting,High,High,Increased legal and negotiation costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
b622296d-ed25-4423-95a5-09c6755ca737,Risk,Physical,Power and Utilities,Extreme Weather impacting compensation funds and real estate activities,Land acquisition & permitting,6820,Extreme Weather,Acute,Short term (0-3 yrs),Operations,Increased risk of property damage affecting acquisition processes,,Land acquisition & permitting,Medium,Medium,Higher insurance and repair costs,Excel + Power and Utilities Analysis,2025-07-25T13:55:02.407Z,No
