Reporting period,,Reporting period -2,Reporting period -2,Reporting period -1,Reporting period -1,Reporting period,Reporting period
Emissions,,Emissions (metric tons),Emissions (mtCO2e),Emissions (metric tons),Emissions (mtCO2e),Emissions (metric tons),Emissions (mtCO2e)
Scope 1 GHG emissions (102-5-b),CO2,,,,,,
Scope 1 GHG emissions (102-5-b),CH4,,,,,,
Scope 1 GHG emissions (102-5-b),N2O,,,,,,
Scope 1 GHG emissions (102-5-b),HFCs,,,,,,
Scope 1 GHG emissions (102-5-b),PFCs,,,,,,
Scope 1 GHG emissions (102-5-b),SF6,,,,,,
Scope 1 GHG emissions (102-5-b),NF3,,,,,,
Total Scope 1 GHG emissions (102-5-a),,,,,,,
Scope 2 GHG emissions (location-based) (102-6-b),CO2,,,,,,
Scope 2 GHG emissions (location-based) (102-6-b),CH4,,,,,,
Scope 2 GHG emissions (location-based) (102-6-b),N2O,,,,,,
Total Scope 2 GHG emissions (location-based) (102-6-a),,,,,,,
Scope 2 GHG emissions (market-based) (102-6-b),CO2,,,,,,
Scope 2 GHG emissions (market-based) (102-6-b),CH4,,,,,,
Scope 2 GHG emissions (market-based) (102-6-b),N2O,,,,,,
Total Scope 2 GHG emissions (market-based) (102-6-a),,,,,,,
